Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Timor-Leste,TMP,..,0,..,0.21,1.14
Internet users (per 100 people),IT.NET.USER.P2,Togo,TGO,0,0,0.8,3,5.7
Internet users (per 100 people),IT.NET.USER.P2,Tonga,TON,..,0,2.4343980443669,16,40
Internet users (per 100 people),IT.NET.USER.P2,Trinidad and Tobago,TTO,..,0,7.72141147401745,48.5,65.1
Internet users (per 100 people),IT.NET.USER.P2,Tunisia,TUN,..,0,2.75074029298135,36.8,46.16
Internet users (per 100 people),IT.NET.USER.P2,Turkey,TUR,..,0,3.761685035075,39.82,51.04
Internet users (per 100 people),IT.NET.USER.P2,Turkmenistan,TKM,..,0,0.13328218259348,3,12.2
Internet users (per 100 people),IT.NET.USER.P2,Turks and Caicos Islands,TCA,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Tuvalu,TUV,..,0,5.24163958486214,25,..
Internet users (per 100 people),IT.NET.USER.P2,Uganda,UGA,..,0,0.163714063074854,12.5,17.71
Internet users (per 100 people),IT.NET.USER.P2,Ukraine,UKR,..,0,0.716183762031043,23.3,43.4
Internet users (per 100 people),IT.NET.USER.P2,United Arab Emirates,ARE,..,0,23.6253008751553,68,90.4
Internet users (per 100 people),IT.NET.USER.P2,United Kingdom,GBR,..,0.0873553192811587,26.8217543508578,85,91.61
Internet users (per 100 people),IT.NET.USER.P2,United States,USA,..,0.784728502202794,43.0791626375201,71.69,87.36
Internet users (per 100 people),IT.NET.USER.P2,Uruguay,URY,..,0,10.5390577480141,46.4,61.46
Internet users (per 100 people),IT.NET.USER.P2,Uzbekistan,UZB,..,0,0.484347307694947,20,43.55
Internet users (per 100 people),IT.NET.USER.P2,Vanuatu,VUT,..,0,2.10833689115184,8,18.8
Internet users (per 100 people),IT.NET.USER.P2,"Venezuela, RB",VEN,..,0,3.3595974645036,37.37,57
Internet users (per 100 people),IT.NET.USER.P2,Vietnam,VNM,..,0,0.254248275754934,30.65,48.31
Internet users (per 100 people),IT.NET.USER.P2,Virgin Islands (U.S.),VIR,..,0,13.8150805419196,31.22,50.07
Internet users (per 100 people),IT.NET.USER.P2,West Bank and Gaza,WBG,..,0,1.11130620708969,37.4,53.67
Internet users (per 100 people),IT.NET.USER.P2,"Yemen, Rep.",YEM,..,0,0.0825003865143108,12.35,22.55
Internet users (per 100 people),IT.NET.USER.P2,Zambia,ZMB,..,0,0.191071642503428,10,17.34
Internet users (per 100 people),IT.NET.USER.P2,Zimbabwe,ZWE,..,0,0.401433535211582,11.5,19.89
